"region";"kategori";"energityp";"1995";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008"
"00 Riket";"2 bruttotillf�rsel";"total energi";534742932;523791067;552431740;570706986;565368185;575414320;554640675;561733819;542269409;548822807
"00 Riket";"3 insatt f�r omvandling totalt";"total energi";333687190;303914005;349631036;332225099;320459883;352475025;353996507;..;..;..
"00 Riket";"3.1 insats Vattenkraftstationer";"total energi";67627517;78619090;78822407;66676867;52595566;60910102;72534874;61684839;66047667;64553258
"00 Riket";"3.2 insats Vindkraftverk";"total energi";27333;456702;447673;422109;388009;319794;575459;..;1177563;537082
"00 Riket";"3.3 insats K�rnkraftverk";"total energi";207313299;169542860;214078330;200694712;199062046;227063038;215370469;189740775;183866299;186965613
"00 Riket";"3.4 insats V�rmekraftverk (ej k�rn-)";"total energi";698483;182039;184920;1140930;1625991;2816913;..;782133;372470;396477
"00 Riket";"3.5 insats Indust.mottrycksanl.";"total energi";5003135;5021251;5181672;5964227;6566406;5761926;7184162;..;7140017;..
"00 Riket";"3.6.1 insats Kraftv�rmeverk, fj�rrv�rmeprod.";"total energi";23107837;21066977;17646036;20432725;19720106;20911569;28090916;30010224;29011612;32304277
"00 Riket";"3.6.1.1 insats Spec. Fj�rrv�rme m. v�rmepumpar";"total energi";1213986;1435254;1312418;1699301;1108761;1584581;1390831;1508334;1408686;1418344
"00 Riket";"3.6.2 insats Kraftv�rmeverk, elprod.";"total energi";7644331;5828152;5785815;6233975;11844154;8750268;9851780;10917982;9773126;11192874
"00 Riket";"3.7 insats Frist�ende v�rmeverk";"total energi";22265257;23196932;27484183;30659555;28657606;26028250;19935765;..;..;20140506
"00 Riket";"3.7.1 insats Spec.Frist�ende v�rmev. v�rmepumpar";"total energi";5428897;6021057;6283405;5953495;5607413;5027894;4802063;4330631;4380024;4279214
"00 Riket";"4 omvandlat totalt";"total energi";192994809;191923358;211897742;195342608;185503576;205033915;209562827;..;202989623;195540284
"00 Riket";"4.1 omvandlat Vattenkraftstationer";"total energi";67627517;78619090;78822407;66676867;52595566;60910102;72534874;61684839;66047667;64553258
"00 Riket";"4.2 omvandlat Vindkraftverk";"total energi";27333;456702;447673;422109;388009;319794;575459;..;1177563;537082
"00 Riket";"4.3 omvandlat K�rnkraftverk";"total energi";69935108;57316294;72108885;67577799;67414740;77733038;72690780;66977225;66969244;63888988
"00 Riket";"4.4 omvandlat V�rmekraftverk (ej k�rn-)";"total energi";223508;67026;579514;1198211;1871293;906900;554340;797750;553525;710630
"00 Riket";"4.5 omvandlat Industr.mottrycksanl.";"total energi";3597721;4152419;4067191;4435410;5068725;4971384;5192828;5272889;5969082;6161712
"00 Riket";"4.6 omvandlat Kraftv�rmeverk";"total energi";28575555;27305087;22103906;26774647;34886501;33723340;35750207;39028730;38496562;37410750
"00 Riket";"4.6.1omvandlat Spec. Kraftv.v�rmepumpar";"total energi";1125610;699752;1312418;3398602;1108761;1584581;1390831;1508334;1408686;1418344
"00 Riket";"4.6.2 omvandlat Spec. Kraftv.spillv�rme";"total energi";1142976;1219096;1259728;1174560;1902923;1721130;2273075;3238581;3315202;1306613
"00 Riket";"4.7 omvandlat Frist�ende v�rmeverk";"total energi";23008067;24006740;33768167;28257565;23278741;26469357;22264340;23590841;23775980;22277863
"00 Riket";"4.7.1 omvandlat Spec.Frist.v�rmev. v�rmepumpar";"total energi";5427410;6023557;6283405;6049537;5666893;5114861;4802063;4330631;4380024;4279214
"00 Riket";"4.7.2 omvandlat Spec.Frist.v�rmev. spillv�rme";"total energi";2336852;3051208;3654439;3299229;1925176;3991473;3101826;3063369;3279885;2472160
"00 Riket";"5 anv i energisektor totalt";"total energi";7605633;7030145;7498960;7062998;6111823;6996778;..;6424270;7492872;6903492
"00 Riket";"5.1 AnvEnSektor Vattenkraftstationer";"total energi";834410;770613;551757;859552;590278;443747;491075;455359;538196;502181
"00 Riket";"5.2 AnvEnSektor Vindkraftverk";"total energi";75;850;4027;5899;6845;1093;..;12098;7127;3195
"00 Riket";"5.3 AnvEnSektor K�rnkraftverk";"total energi";2957288;2544290;3087944;1992931;3105141;2451799;2927353;1977153;2655768;2574119
"00 Riket";"5.4 AnvEnSektor V�rmekraftverk (ej k�rn-)";"total energi";57940;38555;26658;67788;140182;107324;73096;103070;78897;82275
"00 Riket";"5.5 AnvEnSektor Industr.mottrycksanl�ggning";"total energi";17916;0;174780;0;152062;149142;155785;158187;179072;184851
"00 Riket";"5.6 AnvEnSektor Kraftv�rmeverk";"total energi";1392528;1185261;1193131;1542172;1350206;1616108;1714548;1628749;1821401;1569419
"00 Riket";"5.6.1 AnvEnSektor Spec.Kraftv.v�rmepumpar";"total energi";364741;450627;369153;350172;349735;442752;409252;369100;521348;330859
"00 Riket";"5.7 AnvEnSektor Frist�ende v�rmeverk";"total energi";2345476;2490576;2460663;2594656;767109;2227565;2255472;2089656;2212412;1987452
"00 Riket";"5.7.1 AnvEnSektor Frist.v�rmev.v�rmepumpar";"total energi";1728849;1860512;1845176;1861123;1732417;1479346;1444712;1283401;1256169;1237120
