"energib�rare";"energifl�den";"1992K2";"1992K3";"1992K4";"1993K1";"1993K2";"1993K3";"1993K4";"1994K1";"1994K2";"1994K3";"1994K4";"1995K1";"1995K2";"1995K3";"1995K4";"1996K1";"1996K2";"1996K3";"1996K4";"1997K1";"1997K2";"1997K3";"1997K4";"1998K1";"1998K2";"1998K3";"1998K4";"1999K1";"1999K2";"1999K3";"1999K4";"2000K1";"2000K2";"2000K3";"2000K4";"2001K1";"2001K2";"2001K3";"2001K4";"2002K1";"2002K2";"2002K3";"2002K4";"2003K1";"2003K2";"2003K3";"2003K4";"2004K1";"2004K2";"2004K3";"2004K4";"2005K1";"2005K2";"2005K3";"2005K4";"2006K1";"2006K2";"2006K3";"2006K4";"2007K1";"2007K2";"2007K3";"2007K4";"2008K1";"2008K2";"2008K3";"2008K4";"2009K1";"2009K2";"2009K3";"2009K4"
"stenkol";"1 bruttotillf�rsel";18098;15158;29173;27949;17880;17363;25799;28248;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;24874;19268;16382;24738;24438;18342;15675;23295;25989;19240;15703;..;25735;21061;19016;23810;25117;20312;18709;25656;27278;22296;18474;24076;28519;22952;21369;25599;26092;22382;20371;23603;27016;22326;19925;24310;24834;22743;20301;24710;23823;22569;20738;20599;18209;15627;12972;20797
"stenkol";"1.1 inhemsk tillf�rsel av prim�ra energib�rare";354;599;54;0;0;0;54;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"stenkol";"1.1a bruttoproduktion i vattenkraftverk (ing�r i 1.1)";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"stenkol";"1.1b f�rbrukat k�rnbr�nsle (ing�r i 1.1)";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"stenkol";"1.2 import";16655;20819;25554;16791;16846;23268;30480;11838;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;14233;14532;19349;35079;11539;16301;23595;28520;13580;11811;26676;..;9596;15030;25599;25431;10140;10650;26413;25474;14302;17584;25795;29117;14434;16600;19817;32724;10602;17240;28281;31106;9941;15589;24279;33459;13043;15806;28495;29224;9220;19295;20213;29030;11031;11579;11596;16192
"stenkol";"1.3 export";163;0;27;435;381;1959;109;463;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;82;27;82;27;27;27;54;27;54;0;49;..;54;44;11;48;12;16;47;12;15;102;12;104;16;247;15;21;110;21;15;17;93;16;102;17;52;13;14;21;17;25;75;145;159;5;5;5
"stenkol";"1.4 lagerf�r�ndringar, statistisk differens";-1252;6260;-3592;-11593;-1415;3946;4626;-16873;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;-10722;-4762;2885;10314;-12927;-2068;7865;5198;-12464;-7429;10924;..;-16193;-6074;6572;1573;-14990;-9678;7657;-193;-12992;-4814;7310;4937;-14101;-6600;-1567;7104;-15600;-5164;7895;7486;-17168;-6753;4252;9132;-11844;-6950;8180;4493;-14621;-3299;-600;8286;-7338;-4052;-1381;-4610
"stenkol";"2 bunkring f�r utrikes sj�fart (sv + utl fartyg)";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"stenkol";"3.1 insatt f�r omvandling till andra energib�rare i vattenkraftstationer";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"stenkol";"3.2 insatt f�r omvandling till andra energib�rare i pumpkraftverk";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
