"region";"varuslag";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017"
"00 Riket";"motorbensin";5442.6;5494.6;5553.6;5557.4;5453.1;5306.7;5267.8;4954.8;4840.3;4568.0;4231.1;3884.2;3685.7;3540.5;3471.4;3341.3;3198.0
"00 Riket";"dieselbr�nsle";3530.0;3664.9;3856.0;4073.0;4166.6;4284.5;4468.3;4851.6;4774.1;5095.7;5297.8;5277.4;5391.0;5531.6;5783.3;5859.9;5820.8
"00 Riket";"etanol";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;214.4;212.2;174.8;154.8;103.0;58.3;48.8
"00 Riket";"E85";0.0;0.0;0.0;0.0;0.0;0.0;0.0;209.5;208.3;230.8;0.0;0.0;0.0;..;..;..;..
"00 Riket";"FAME";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;78.4;70.9
"00 Riket";"HVO";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;259.2;569.7
"00 Riket";"eldningsolja nr 1";2613.3;2522.3;2445.3;1839.2;1531.9;1391.6;1161.6;940.1;170.9;193.6;847.6;802.7;738.3;800.6;762.8;731.3;614.0
"00 Riket";"eldningsolja nr 1 d�rav ej SNI 05-33, 35";2225.6;2104.2;1859.4;1476.3;1192.5;1088.9;921.6;736.3;934.9;1127.9;623.0;620.1;572.1;669.1;547.9;483.0;428.3
"00 Riket";"eldningsolja nr 2 inkl. WRD";0.0;0.0;0.0;0.0;0.0;0.0;0.0;260.1;746.4;811.4;354.0;277.3;216.5;163.3;33.1;26.3;29.6
"00 Riket";"eldningsolja nr 2 inkl. WRD d�rav ej SNI 05-33, 35";0.0;0.0;0.0;0.0;0.0;0.0;0.0;66.4;273.5;367.6;117.0;57.5;24.3;24.9;3.4;0.0;..
"00 Riket";"Eldningsolja nr 2-5";3258.9;3340.6;4281.8;2857.8;2712.1;2965.1;2004.4;0.0;0.0;0.0;0.0;0.0;0.0;..;..;0.0;..
"00 Riket";"Eldningsolja nr 2-5 d�rav ej SNI 05-33,35";153.3;116.8;144.6;129.8;134.2;120.0;78.3;0.0;0.0;0.0;0.0;0.0;0.0;..;..;0.0;..
"00 Riket";"eldningsolja nr 3-6 ";0.0;0.0;0.0;0.0;0.0;0.0;0.0;728.5;92.4;95.5;664.4;318.2;427.4;256.9;148.1;144.9;118.3
"00 Riket";"eldningsolja nr 3-6 d�rav ej SNI 05-33, 35";0.0;0.0;0.0;0.0;0.0;0.0;0.0;112.8;748.5;782.0;166.0;142.6;159.4;83.7;42.6;25.2;28.8
