energib�rare,energifl�den,1984K1,1984K2,1984K3,1984K4,1985K1,1985K2,1985K3,1985K4,1986K1,1986K2,1986K3,1986K4,1987K1,1987K2,1987K3,1987K4,1988K1,1988K2,1988K3,1988K4,1989K1,1989K2,1989K3,1989K4,1990K1,1990K2,1990K3,1990K4,1991K1,1991K2,1991K3,1991K4,1992K1,1992K2,1992K3,1992K4,1993K1,1993K2,1993K3,1993K4,1994K1,1994K2,1994K3,1994K4,1995K1,1995K2,1995K3,1995K4,1996K1,1996K2,1996K3,1996K4,1997K1,1997K2,1997K3,1997K4,1998K1,1998K2,1998K3,1998K4,1999K1,1999K2,1999K3,1999K4,2000K1,2000K2,2000K3,2000K4,2001K1,2001K2,2001K3,2001K4,2002K1,2002K2,2002K3,2002K4,2003K1,2003K2,2003K3,2003K4,2004K1,2004K2,2004K3,2004K4,2005K1,2005K2,2005K3,2005K4,2006K1,2006K2,2006K3,2006K4,2007K1,2007K2,2007K3,2007K4,2008K1,2008K2,2008K3,2008K4,2009K1,2009K2,2009K3,2009K4,2010K1,2010K2,2010K3,2010K4,2011K1,2011K2,2011K3,2011K4,2012K1,2012K2,2012K3,2012K4,2013K1,2013K2,2013K3,2013K4,2014K1,2014K2,2014K3,2014K4,2015K1,2015K2,2015K3,2015K4,2016K1,2016K2,2016K3,2016K4,2017K1,2017K2,2017K3,2017K4
stenkol,1 bruttotillf�rsel,29201,21988,18098,28465,35868,25907,18315,32467,40058,23813,18888,32438,40194,24983,16735,31514,36085,20819,15673,31268,30696,18859,15023,29744,29962,19050,16683,31243,31841,20546,16055,26696,28194,18089,15158,29173,28085,17363,17336,25799,28330,18669,16818,25935,27377,19649,15811,25091,28929,22805,19785,27650,25064,19485,15812,24411,24874,19376,16383,24738,24438,18342,15675,23295,25989,19240,15703,22446,25735,21061,19016,23810,25117,20312,18709,25656,27278,22296,21688,24076,28519,22952,21369,25599,26092,22382,20371,23603,27016,22326,19925,24310,24834,22743,20301,24710,23823,22569,20738,22358,18209,15603,12972,20797,22519,20500,18291,24310,23966,18285,17297,20027,20723,16903,14966,18683,21059,16961,16257,20385,18997,16639,15323,19493,20599,17620,15115,18800,18865,17081,17333,17229,19108,16627,15721,18097
stenkol,1.1 inhemsk tillf�rsel av prim�ra energib�rare,..,136,82,136,..,163,34,109,..,190,136,..,136,54,435,54,..,136,245,435,0,..,..,..,..,299,..,..,..,245,490,27,..,381,599,54,0,..,0,27,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
stenkol,1.2 import,19894,22533,30698,34617,15866,33174,33391,50156,19676,25146,26833,49611,21744,16438,26752,43134,27650,16546,20139,39515,29092,15757,15811,40114,15975,21037,23840,32684,12328,15621,23785,33365,18914,16655,20819,25554,16655,16746,22887,30480,11838,20982,22969,27241,17744,18995,25745,33147,11131,15675,30344,31596,16328,20247,24983,27813,14233,14532,19349,35079,11539,16301,23595,28520,13580,11811,26676,29416,9596,15030,25599,25431,10140,10650,26413,25474,14302,17584,19817,29117,14434,16600,19817,32724,10602,17240,28281,31106,9941,15589,24279,33459,13043,15806,28495,29224,9220,19295,20213,29030,11031,11579,11596,16192,14823,18096,31733,24756,11092,16007,27895,26917,9046,13498,20934,17852,12227,16183,20018,20517,14713,21984,17947,20536,13437,20003,24336,16254,12378,15833,26697,27785,8930,16907,23460,23335
stenkol,1.3 export,435,54,0,136,109,109,272,2558,1061,190,163,163,1225,381,490,735,735,163,54,0,27,54,109,0,0,0,0,54,245,0,82,54,245,190,0,27,435,381,1959,109,463,0,136,0,27,0,27,82,27,54,490,1143,27,82,54,27,82,27,82,27,27,27,54,27,54,0,49,16,54,44,11,48,12,16,47,12,15,102,15,104,16,247,15,21,110,21,15,17,93,16,102,17,52,13,14,21,17,25,75,148,159,5,5,5,4,6,4,7,7,6,7,4,6,5,5,4,6,7,5,7,5,5,2,7,5,2,1,0,0,0,0,0,0,0,0,12
stenkol,"1.4 lagerf�r�ndringar, statistisk differens",-9742,627,12682,6152,-20111,7321,14858,15240,-21443,1333,7918,17010,-19539,-8872,9962,10939,-9170,-4300,4657,8682,-1631,-3156,679,10370,-13987,2286,7157,1387,-19758,-90,8138,6642,-9525,-1252,6260,-3592,-11865,-898,3592,4599,-16955,2313,6014,1306,-9661,-653,9906,7974,-17825,-7185,10069,2803,-8763,680,9117,3375,-10722,-4871,2885,10314,-12927,-2068,7865,5198,-12464,-7429,10924,6954,-16193,-6074,6572,1573,-14990,-9678,7657,-193,-12992,-4814,-1885,4937,-14101,-6600,-1567,7104,-15600,-5164,7895,7486,-17168,-6753,4252,9132,-11844,-6950,8180,4493,-14621,-3299,-600,6524,-7338,-4029,-1381,-4610,-7700,-2410,13438,439,-12881,-2284,10590,6886,-11683,-3410,5963,-835,-8838,-785,3756,124,-4288,5339,2623,1036,-7167,2381,9220,-2546,-6487,-1248,9364,10556,-10178,279,7739,5227
stenkol,2 bunkring f�r utrikes sj�fart (sv + utl fartyg),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
stenkol,3 insatt f�r omvandling till andra energib�rare,24167,17172,14071,23323,30915,21091,13934,27188,34779,19159,14914,27132,35323,20411,12409,25309,29990,15540,11266,25336,24655,13199,10615,22207,23676,13661,12029,23922,25799,15131,11893,20465,22669,13798,11158,23812,23105,13199,13090,20111,22914,14206,12981,20628,21499,14750,11920,19839,23595,17880,16111,21662,20438,14369,12165,18614,19730,14696,12056,19240,20084,14015,11920,17934,19975,13879,11539,16214,19639,15046,13518,17660,18635,13735,12933,19095,21159,16057,14723,17940,21570,16215,14723,18162,18874,15567,13876,17040,19833,15557,13743,17505,18042,15607,13960,17615,17051,14909,14148,16256,14271,11646,9883,15591,16823,14340,12843,18180,17085,11930,11520,13403,14226,10792,10167,12989,15478,10924,10249,13625,13238,10781,10162,13415,14810,11985,10827,13190,13287,..,10548,..,13550,10547,10201,12368
stenkol,4 bruttoproduktion av omvandlade energib�rare,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
stenkol,5 anv�ndning i energisektorn,..,..,27,27,..,27,..,..,..,..,..,..,27,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
stenkol,6 nettotillf�rsel f�r anv�ndning inom landet (1+2+3+4+5),5034,4816,4000,5115,4953,4789,4381,5279,5279,4654,3974,5306,4844,4572,4326,6205,6095,5279,4407,5932,6041,5660,4408,7537,6286,5389,4654,7321,6042,5415,4162,6231,5525,4300,4000,5361,4980,4164,4246,5688,5416,4463,3837,5307,5878,4899,3892,5252,5334,4926,3674,5987,4626,5116,3647,5797,5143,4681,4327,5497,4354,4327,3756,5361,6014,5361,4164,6232,6096,6014,5497,6150,6482,6576,5776,6561,6118,6239,6965,6137,6949,6737,6647,7437,7218,6815,6495,6563,7183,6769,6182,6805,6793,7136,6341,7095,6773,7661,6591,6102,3938,3957,3089,5206,5697,6160,5448,6130,6881,6355,5777,6624,6497,6111,4800,5694,5582,6037,6009,6760,5759,5858,5161,6078,5789,5635,4288,5610,5578,..,6785,..,5558,6080,5519,5729
